"v"	"v2"	"first"	"second"	"palindromatic"
"daw"	"wad"	77329	361705	FALSE
"daws"	"swad"	77357	313938	FALSE
"dd"	"dd"	77404	77404	TRUE
"de"	"ed"	77407	95641	FALSE
"debut"	"tubed"	77885	331872	FALSE
"decal"	"laced"	77954	166832	FALSE
"decap"	"paced"	78026	222577	FALSE
"decart"	"traced"	78094	327033	FALSE
"decurt"	"truced"	78850	331460	FALSE
"dedal"	"laded"	78872	167170	FALSE
"dedit"	"tided"	78908	323315	FALSE
"deed"	"deed"	78952	78952	TRUE
"deedeed"	"deedeed"	78956	78956	TRUE
"deem"	"meed"	78971	182279	FALSE
"deep"	"peed"	78987	229024	FALSE
"deeps"	"speed"	79011	299009	FALSE
"deer"	"reed"	79016	264543	FALSE
"dees"	"seed"	79048	283066	FALSE
"def"	"fed"	79062	110789	FALSE
"defer"	"refed"	79226	264959	FALSE
"deflow"	"wolfed"	79407	366902	FALSE
"deg"	"ged"	79536	123073	FALSE
"degami"	"imaged"	79540	147573	FALSE
"degener"	"reneged"	79563	267612	FALSE
"degged"	"degged"	79588	79588	TRUE
"dey"	"yed"	79769	146761	FALSE
"deified"	"deified"	79792	79792	TRUE
"deifier"	"reified"	79793	266081	FALSE
"deil"	"lied"	79805	171813	FALSE
"deys"	"syed"	79848	289902	FALSE
"deke"	"eked"	79906	96628	FALSE
"deked"	"deked"	79907	79907	TRUE
"del"	"led"	79914	169885	FALSE
"delaw"	"waled"	79956	362183	FALSE
"delbert"	"trebled"	79960	328743	FALSE
"deled"	"deled"	79979	79979	TRUE
"delf"	"fled"	80022	114340	FALSE
"delian"	"nailed"	80031	196578	FALSE
"delit"	"tiled"	80180	323560	FALSE
"deliver"	"reviled"	80185	271358	FALSE
"dels"	"sled"	80249	293849	FALSE
"dem"	"med"	80321	181953	FALSE
"demal"	"lamed"	80350	167627	FALSE
"demit"	"timed"	80654	323753	FALSE
"den"	"ned"	80962	197904	FALSE
"dene"	"ened"	81089	100113	FALSE
"denier"	"reined"	81113	266271	FALSE
"denies"	"seined"	81118	283297	FALSE
"denim"	"mined"	81131	187727	FALSE
"denned"	"denned"	81158	81158	TRUE
"dennis"	"sinned"	81161	291852	FALSE
"dens"	"sned"	81208	295427	FALSE
"dep"	"ped"	81483	228720	FALSE
"depoh"	"hoped"	81702	143677	FALSE
"depot"	"toped"	81788	325848	FALSE
"depots"	"stoped"	81791	305335	FALSE
"der"	"red"	81971	263843	FALSE
"derah"	"hared"	81982	133732	FALSE
"derat"	"tared"	82007	316558	FALSE
"derats"	"stared"	82019	302885	FALSE
"derf"	"fred"	82070	118563	FALSE
"dero"	"ored"	82296	214292	FALSE
"derog"	"gored"	82299	128074	FALSE
"derri"	"irred"	82320	158206	FALSE
"des"	"sed"	82351	282956	FALSE
"desi"	"ised"	82543	158639	FALSE
"desyl"	"lysed"	82605	173422	FALSE
"dess"	"ssed"	82904	302130	FALSE
"dessert"	"tressed"	82906	329025	FALSE
"desserts"	"stressed"	82907	306128	FALSE
"det"	"ted"	83052	317745	FALSE
"detar"	"rated"	83093	260990	FALSE
"deus"	"sued"	83350	310066	FALSE
"deval"	"laved"	83435	169289	FALSE
"devas"	"saved"	83456	279070	FALSE
"devil"	"lived"	83547	173939	FALSE
"deviler"	"relived"	83551	267015	FALSE
"dew"	"wed"	83723	363696	FALSE
"dewal"	"lawed"	83724	169340	FALSE
"dewans"	"snawed"	83729	295382	FALSE
"dewed"	"dewed"	83754	83754	TRUE
"dewer"	"rewed"	83757	271609	FALSE
"dex"	"xed"	83788	368338	FALSE
"dexes"	"sexed"	83790	286843	FALSE
"dg"	"gd"	83878	123020	FALSE
"di"	"id"	83959	146282	FALSE
"dy"	"yd"	83960	146283	FALSE
"dial"	"laid"	84194	167399	FALSE
"dialer"	"relaid"	84218	266709	FALSE
"diam"	"maid"	84309	177764	FALSE
"dian"	"naid"	84368	196567	FALSE
"diaper"	"repaid"	84411	267977	FALSE
"dias"	"said"	84515	276752	FALSE
"dibrom"	"morbid"	84715	193323	FALSE
"did"	"did"	85016	85016	TRUE
"diene"	"eneid"	85171	100114	FALSE
"dier"	"reid"	85174	266073	FALSE
"dies"	"seid"	85182	283261	FALSE
"diets"	"steid"	85251	303535	FALSE
"dif"	"fid"	85262	112212	FALSE
"dig"	"gid"	85379	124717	FALSE
"dil"	"lid"	85662	171778	FALSE
"dilo"	"olid"	85776	212148	FALSE
"dilos"	"solid"	85780	296715	FALSE
"dim"	"mid"	85815	186663	FALSE
"dimit"	"timid"	85935	323813	FALSE
"din"	"nid"	85987	199748	FALSE
"dinar"	"ranid"	86052	260580	FALSE
"dine"	"enid"	86081	100567	FALSE
"diols"	"sloid"	86272	294316	FALSE
"dioramas"	"samaroid"	86329	277483	FALSE
"dir"	"rid"	86749	272621	FALSE
"dirge"	"egrid"	86814	96301	FALSE
"dirt"	"trid"	86849	329650	FALSE
"dirts"	"strid"	86863	306230	FALSE
"dis"	"sid"	86865	289709	FALSE
"dys"	"syd"	86866	289710	FALSE
"disp"	"psid"	88849	255549	FALSE
"dit"	"tid"	90063	323293	FALSE
"dits"	"stid"	90144	304349	FALSE
"divid"	"divid"	90318	90318	TRUE
"dl"	"ld"	90522	169490	FALSE
"dlr"	"rld"	90523	273458	FALSE
"dm"	"md"	90525	181662	FALSE
"dn"	"nd"	90528	197579	FALSE
"do"	"od"	90530	211186	FALSE
"dod"	"dod"	90716	90716	TRUE
"doeg"	"geod"	90818	123825	FALSE
"dog"	"god"	90841	127306	FALSE
"doh"	"hod"	91014	142181	FALSE
"dol"	"lod"	91052	174481	FALSE
"dole"	"elod"	91069	97725	FALSE
"dolos"	"solod"	91216	296842	FALSE
"dols"	"slod"	91228	294294	FALSE
"dom"	"mod"	91237	191033	FALSE
"don"	"nod"	91367	200676	FALSE
"dons"	"snod"	91470	295662	FALSE
"dool"	"lood"	91508	175047	FALSE
"doom"	"mood"	91517	192990	FALSE
"door"	"rood"	91538	274197	FALSE
"dop"	"pod"	91596	240981	FALSE
"dor"	"rod"	91636	273736	FALSE
"dormin"	"nimrod"	91704	200161	FALSE
"dorp"	"prod"	91730	251506	FALSE
"dorps"	"sprod"	91733	301385	FALSE
"dort"	"trod"	91823	330980	FALSE
"dorter"	"retrod"	91824	270806	FALSE
"dos"	"sod"	91831	296263	FALSE
"dot"	"tod"	91880	325003	FALSE
"dots"	"stod"	91924	304988	FALSE
"dow"	"wod"	92148	366840	FALSE
"doz"	"zod"	92401	369623	FALSE
"doze"	"ezod"	92402	108866	FALSE
"dp"	"pd"	92424	228314	FALSE
"dpt"	"tpd"	92425	326987	FALSE
"dr"	"rd"	92426	261392	FALSE
"drag"	"gard"	92521	122092	FALSE
"dray"	"yard"	92606	145725	FALSE
"drail"	"liard"	92612	171402	FALSE
"draw"	"ward"	92755	362554	FALSE
"drawer"	"reward"	92781	271569	FALSE
"draws"	"sward"	92821	314115	FALSE
"drey"	"yerd"	92938	146908	FALSE
"drof"	"ford"	93228	116454	FALSE
"drool"	"loord"	93320	175114	FALSE
"drow"	"word"	93450	367410	FALSE
"ds"	"sd"	93627	282379	FALSE
"dt"	"td"	93636	317410	FALSE
"dtd"	"dtd"	93637	93637	TRUE
"du"	"ud"	93640	333608	FALSE
"dual"	"laud"	93644	169091	FALSE
"ducs"	"scud"	93783	282128	FALSE
"dud"	"dud"	93810	93810	TRUE
"duel"	"leud"	93842	171116	FALSE
"dug"	"gud"	93904	130872	FALSE
"dui"	"iud"	93918	159644	FALSE
"dum"	"mud"	94027	194649	FALSE
"duo"	"oud"	94242	216044	FALSE
"duos"	"soud"	94314	297788	FALSE
"dup"	"pud"	94323	256004	FALSE
"dups"	"spud"	94393	301434	FALSE
"dur"	"rud"	94394	275265	FALSE
"dx"	"xd"	94663	368334	FALSE
"e"	"e"	94671	94671	TRUE
"eam"	"mae"	94704	177287	FALSE
"ean"	"nae"	94705	196482	FALSE
"eat"	"tae"	94955	315170	FALSE
"ecart"	"trace"	95082	327027	FALSE
"ecce"	"ecce"	95098	95098	TRUE
"eciton"	"notice"	95301	208921	FALSE
"edam"	"made"	95647	177187	FALSE
"edile"	"elide"	95768	97553	FALSE
"edit"	"tide"	95774	323313	FALSE
"edo"	"ode"	95806	211219	FALSE
"ee"	"ee"	95884	95884	TRUE
"eel"	"lee"	95889	169912	FALSE
"eels"	"slee"	95912	293868	FALSE
"een"	"nee"	95920	197909	FALSE
"eer"	"ree"	95922	264532	FALSE
"ef"	"fe"	95934	110584	FALSE
"eg"	"ge"	96141	123023	FALSE
"egol"	"loge"	96260	174575	FALSE
"eh"	"he"	96313	134576	FALSE
"ey"	"ye"	96323	146696	FALSE
"eyah"	"haye"	96324	132306	FALSE
"eye"	"eye"	96353	96353	TRUE
"eyl"	"lye"	96521	171804	FALSE
"eyn"	"nye"	96529	199805	FALSE
"eir"	"rie"	96539	272709	FALSE
"eyr"	"rye"	96540	272710	FALSE
"eire"	"erie"	96546	103680	FALSE
"eke"	"eke"	96626	96626	TRUE
"el"	"le"	96651	169493	FALSE
"elan"	"nale"	96709	196664	FALSE
"elaps"	"spale"	96733	298290	FALSE
"elbert"	"treble"	96807	328742	FALSE
"elem"	"mele"	97389	182815	FALSE
"elfin"	"nifle"	97521	199843	FALSE
"eli"	"ile"	97536	147211	FALSE
"elides"	"sedile"	97555	282996	FALSE
"eliot"	"toile"	97592	325142	FALSE
"elle"	"elle"	97672	97672	TRUE
"eloah"	"haole"	97714	133438	FALSE
"elops"	"spole"	97773	300684	FALSE
"elutes"	"setule"	97847	286703	FALSE
"em"	"me"	97884	181666	FALSE
"eme"	"eme"	98417	98417	TRUE
"emes"	"seme"	98488	283662	FALSE
